ID de la réponse;Promotion;Date de soumission;Dernière page;Langue de départ;Date de lancement;Date de la dernière action;Vous êtes:;Quel âge avez-vous?;Dans quelle ville êtes-vous né(e)?;Dans quelle ville avez-vous obtenu votre bac?;Dans quelle ville avez-vous obtenu votre licence?;Dans quelle ville effectuez-vous votre alternance?;Quel baccalauréat ou équivalence avez-vous fait valoir pour accéder à l’enseignement supérieur ?;En quelle année avez-vous obtenu ce baccalauréat ou cette équivalence ?;Avant d’entrer en master, avez-vous eu une expérience professionnelle (une expérience à temps plein en dehors d'un job étudiant)?;Quelle(s) raison(s) vous ont amené-e à vous inscrire au master MIASHS? [Mon intérêt pour la discipline];Quelle(s) raison(s) vous ont amené-e à vous inscrire au master MIASHS? [Un projet professionnel précis];Quelle(s) raison(s) vous ont amené-e à vous inscrire au master MIASHS? [Les débouchés offerts];Quelle(s) raison(s) vous ont amené-e à vous inscrire au master MIASHS? [La proximité de l’établissement];Quelle(s) raison(s) vous ont amené-e à vous inscrire au master MIASHS? [Je n’ai pas pu m’inscrire dans la/les formations de mon choix];Quelle(s) raison(s) vous ont amené-e à vous inscrire au master MIASHS? [J’ai suivi le choix d’un ami];Quelle(s) raison(s) vous ont amené-e à vous inscrire au master MIASHS? [On m’a parlé en bien de cette formation (famille, amis...)];Quelle(s) raison(s) vous ont amené-e à vous inscrire au master MIASHS? [Je ne savais pas quoi faire d’autre];Quelle(s) raison(s) vous ont amené-e à vous inscrire au master MIASHS? [Autre];Quelles sont vos attentes à l'issue du Master?;Lors de votre dernière semaine de cours, combien de temps estimez-vous avoir passé du lundi au vendredi /du samedi au dimanche pour chacune des activités suivantes ? [Formation effectivement suivie (cours, TP/TD, séminaires, etc.)][Du lundi au  vendredi];Lors de votre dernière semaine de cours, combien de temps estimez-vous avoir passé du lundi au vendredi /du samedi au dimanche pour chacune des activités suivantes ? [Formation effectivement suivie (cours, TP/TD, séminaires, etc.)][Du samedi au  dimanche];Lors de votre dernière semaine de cours, combien de temps estimez-vous avoir passé du lundi au vendredi /du samedi au dimanche pour chacune des activités suivantes ? [Travail personnel (lecture, travaux à rendre, apprentissage des cours, révisions pour les examens, etc.)][Du lundi au  vendredi];Lors de votre dernière semaine de cours, combien de temps estimez-vous avoir passé du lundi au vendredi /du samedi au dimanche pour chacune des activités suivantes ? [Travail personnel (lecture, travaux à rendre, apprentissage des cours, révisions pour les examens, etc.)][Du samedi au  dimanche];Lors de votre dernière semaine de cours, combien de temps estimez-vous avoir passé du lundi au vendredi /du samedi au dimanche pour chacune des activités suivantes ? [Activités de loisir (sport, lecture, concerts, rencontres d’amis, etc.)][Du lundi au  vendredi];Lors de votre dernière semaine de cours, combien de temps estimez-vous avoir passé du lundi au vendredi /du samedi au dimanche pour chacune des activités suivantes ? [Activités de loisir (sport, lecture, concerts, rencontres d’amis, etc.)][Du samedi au  dimanche];Lors de votre dernière semaine de cours, combien de temps estimez-vous avoir passé du lundi au vendredi /du samedi au dimanche pour chacune des activités suivantes ? [Travail rémunéré (durée effectivement réalisée)][Du lundi au  vendredi];Lors de votre dernière semaine de cours, combien de temps estimez-vous avoir passé du lundi au vendredi /du samedi au dimanche pour chacune des activités suivantes ? [Travail rémunéré (durée effectivement réalisée)][Du samedi au  dimanche];Lors de votre dernière semaine de cours, combien de temps estimez-vous avoir passé du lundi au vendredi /du samedi au dimanche pour chacune des activités suivantes ? [Déplacement, transport (durée effective des principaux trajets)][Du lundi au  vendredi];Lors de votre dernière semaine de cours, combien de temps estimez-vous avoir passé du lundi au vendredi /du samedi au dimanche pour chacune des activités suivantes ? [Déplacement, transport (durée effective des principaux trajets)][Du samedi au  dimanche];Quel secteur d'activité (code NAF INSEE) correspond le plus à votre entreprise d'alternance?;Quelle est la tranche d'effectif de cette entreprise?;Le poste que vous occupez s'apparente plus à un poste de :;Le poste que vous occupez s'apparente plus à un poste de : [Autre];Pourriez-vous décrire en quelques mots votre rôle dans cette entreprise?;Lors du choix de votre formation actuelle, quelle importance avez-vous accordée aux... [Possibilités de débouchés professionnels];Lors du choix de votre formation actuelle, quelle importance avez-vous accordée aux... [Possibilités de  développement  intellectuel];Comment évaluez-vous vos chances d’insertion professionnelle dans la région Occitanie, en France ou à l’étranger à l’issue de votre formation ? [Montpellier];Comment évaluez-vous vos chances d’insertion professionnelle dans la région Occitanie, en France ou à l’étranger à l’issue de votre formation ? [Occitanie];Comment évaluez-vous vos chances d’insertion professionnelle dans la région Occitanie, en France ou à l’étranger à l’issue de votre formation ? [France];Comment évaluez-vous vos chances d’insertion professionnelle dans la région Occitanie, en France ou à l’étranger à l’issue de votre formation ? [Etranger];Temps total :;Durée pour le groupe : Identification;Durée pour la question: Sexe;Durée pour la question: Age;Durée pour le groupe : Votre itinéraire;Durée pour la question: Naissance;Durée pour la question: bac;Durée pour la question: licence;Durée pour la question: alternance;Durée pour le groupe : Parcours et attentes;Durée pour la question: typebac;Durée pour la question: AnneeBac;Durée pour la question: exp;Durée pour la question: raisons;Durée pour la question: attentes;Durée pour le groupe : L’organisation de votre emploi du temps;Durée pour la question: organisationcours;Durée pour le groupe : L’entreprise qui vous accueille en alternance;Durée pour la question: nafent;Durée pour la question: effent;Durée pour la question: poste;Durée pour la question: detent;Durée pour le groupe : Perspectives;Durée pour la question: critereschoix;Durée pour la question: perspemploi
2;2018_2019;2018-10-03 14:47:53;6;fr;2018-10-03 14:28:50;2018-10-03 14:47:53;Une femme;25;"43.84525;4.30418";"43.8355;4.35804";"43.61124;3.87673";"43.61124;3.87673";ES, Sciences économiques et sociales (anciennement B);2011;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;;Devenir maître pokémon ou trouver un emploi lié au machine learning;35;0;6;6;7;6;;;8;2;Information et communication;500 salariés ou plus;Autre;Data engineer;"Traitement de données
Nettoyage de données
Mise à disposition d'outils d'analyse
Déploiement solutions SI";Très importantes;Très importantes;Mauvaises;Mauvaises;Très bonnes;Très bonnes;1145.67;9.16;;;102.23;;;;;210.29;;;;;;495.23;;297.79;;;;;30.97;;
5;2018_2019;2018-10-03 14:50:29;6;fr;2018-10-03 14:32:20;2018-10-03 14:50:29;Une femme;31;"-20.93591;55.29149";"-21.00093;55.27752";"-20.88027;55.4483";"43.55543;1.48894";S, Scientifique (anciennement C, D ou E);2004;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;;Trouver un job en data science;35;0;6;7;4;7;;;8;2;Activités spécialisées, scientifiques et techniques;500 salariés ou plus;Administrateur / Administratrice de bases de données;;"Mise en place et gestion de bases de données
Mise en place d'infrastructure Cloud
Modélisation et prédiction de conseils";Très importantes;Plutôt importantes;Mauvaises;Bonnes;Très bonnes;Très bonnes;1091.42;23.14;;;143.54;;;;;167.13;;;;;;369.71;;322.65;;;;;65.25;;
6;2018_2019;2018-10-03 14:49:25;6;fr;2018-10-03 14:32:57;2018-10-03 14:49:25;Un homme;23;"43.43303;6.73602";"43.64636;0.58505";"43.92776;2.1479";"43.63932;3.91333";STI, Sciences et techniques industrielles (anciennement F);2013;Oui;Non;Non;Non;Non;Non;Non;Oui;Oui;;Je n'en ai pas;35;0;2;0;20;32;0;0;4;10;Autres activités de services;500 salariés ou plus;Data scientist,Statisticien(ne), Economètre, ...;;"Support technique
Data science";Peu importantes;Très importantes;Très bonnes;Très bonnes;Très bonnes;Très bonnes;989.81;5.98;;;43.24;;;;;288.13;;;;;;269.33;;358.3;;;;;24.83;;
7;2018_2019;2018-10-03 14:54:56;6;fr;2018-10-03 14:35:07;2018-10-03 14:54:56;Un homme;23;"48.69918;2.18748";"48.85661;2.3515";"43.61124;3.87673";"43.61124;3.87673";S, Scientifique (anciennement C, D ou E);2013;Non;Oui;Non;Oui;Non;Non;Non;Oui;Non;;Obtenir plus ou moins facilement un CDI grâce aux domaines couverts par la formation;35;0;5;0;25;30;0;0;3;0;Santé humaine et action sociale;500 salariés ou plus;Data scientist,Statisticien(ne), Economètre, ...;;Assistant ingénieur logiciel, je prends part à des projets de  TALN (Traitement Automatique de Langage Naturel ou NLP) et de machine learning afin de justifier les budgets engagés sur ces projets.;Très importantes;Pas du tout importantes;Bonnes;Bonnes;Très bonnes;Très bonnes;1191.6;181.75;;;90.8;;;;;256.77;;;;;;254.36;;279.47;;;;;128.45;;
8;2018_2019;2018-10-03 14:43:37;6;fr;2018-10-03 14:39:20;2018-10-03 14:43:37;Un homme;23;"48.80516;2.41971";"43.73106;3.31892";"43.61124;3.87673";"43.61124;3.87673";S, Scientifique (anciennement C, D ou E);2013;Non;Oui;Oui;Oui;Oui;Non;Non;Non;Non;;Je souhaite créer mon entreprise.;30;0;2;3;3;4;0;0;3;3;;;;;;Très importantes;Très importantes;Bonnes;Bonnes;Très bonnes;Très bonnes;258.92;4.89;;;43.85;;;;;103.81;;;;;;66.58;;21.63;;;;;18.16;;
9;2018_2019;2018-10-03 15:10:13;6;fr;2018-10-03 14:39:52;2018-10-03 15:10:13;;22;"43.61124;3.87673";"43.67453;4.13481";"43.61124;3.87673";"43.61124;3.87673";S, Scientifique (anciennement C, D ou E);2014;Non;Oui;Non;Oui;Non;Non;Non;Oui;Non;;Trouver un emploie stable, intéressant et bien payé au Bahamas si possible.;35;0;6;4;35;28;0;0;10;0;Administration publique;500 salariés ou plus;Data scientist,Statisticien(ne), Economètre, ...;;Gestion des données sportives produites et utilisées par la direction sport et nature du conseil départemental de l'Hérault.;Plutôt importantes;Plutôt importantes;Très bonnes;Très bonnes;Très bonnes;Bonnes;1822.84;602.16;;;46.56;;;;;676.13;;;;;;298.6;;100.01;;;;;99.38;;
11;2018_2019;2018-10-03 14:49:42;6;fr;2018-10-03 14:41:27;2018-10-03 14:49:42;Un homme;24;"34.02241;-6.83454";"34.04489;-6.81402";"43.61124;3.87673";"43.60446;1.44425";Un titre étranger équivalent au baccalauréat;2012;Non;Oui;Non;Non;Non;Non;Non;Non;Non;;;35;0;8;12;6;6;0;0;3;3;Industrie manufacturière;500 salariés ou plus;Data scientist,Statisticien(ne), Economètre, ...;;;Très importantes;Très importantes;Mauvaises;Très bonnes;Très bonnes;Mauvaises;495.32;8.31;;;72.09;;;;;46.72;;;;;;150.22;;169.8;;;;;48.18;;
13;2018_2019;2018-10-03 14:59:21;6;fr;2018-10-03 14:48:37;2018-10-03 14:59:21;Un homme;24;"33.5726;-7.63893";"33.56737;-7.61881";"43.61124;3.87673";"43.60446;1.44425";S, Scientifique (anciennement C, D ou E);2012;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;;pouvoir maîtiser les différentes diciplines d'un data scientist;35;0;10;6;4;3;0;0;5;4;Transports et entreposage;500 salariés ou plus;Autre;data analyst;analyse de données de tracking logistique;Plutôt importantes;Très importantes;Très mauvaises;Mauvaises;Très bonnes;Très bonnes;638.11;14.08;;;124.39;;;;;209.85;;;;;;161.87;;85.93;;;;;41.99;;
15;2018_2019;2018-10-03 15:13:01;6;fr;2018-10-03 14:50:03;2018-10-03 15:13:01;Un homme;28;"45.18756;5.73578";"45.37168;4.79573";"43.67762;4.63097";"43.64643;3.86852";S, Scientifique (anciennement C, D ou E);2008;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;;Savoir utiliser un/plusieurs outils de Deep learning. Comprendre les bases mathématiques/théoriques de cette discipline.;;;;;;;;;;;Information et communication;De 10 à 19 salariés;Autre;Développeur;"Développeur Java/Architecte logiciel : 
Participer à l'analyse préliminaire d'un projet, au choix des technologies et aux interactions logicielles à mettre en place.
Développement Back-end.";Très importantes;Très importantes;Très bonnes;Très bonnes;Très bonnes;;1379.64;12;;;196.93;;;;;175.72;;;;;;576.78;;138.53;;;;;279.68;;
16;2018_2019;2018-10-03 15:15:17;6;fr;2018-10-03 14:50:09;2018-10-03 15:15:17;Un homme;24;"45.49722;-73.61036";"33.96689;-6.84266";"43.61124;3.87673";"35.68284;139.75945";ES, Sciences économiques et sociales (anciennement B);2014;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;;Utiliser des connaissances mathématique pour résoudre des problèmes de société tel que la transition écologique;7;0;2;3;5;8;0;3;1;2;Information et communication;De 5 à 9 salariés;Data scientist,Statisticien(ne), Economètre, ...;;Chomage .;Très importantes;Plutôt importantes;Mauvaises;Bonnes;Très bonnes;Bonnes;1510.41;7.34;;;115.79;;;;;194.68;;;;;;88.81;;1055.08;;;;;48.71;;
